,Team,#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
2021,Womens,01,"Schenck, Regan",29,34.5,.477,.438,.731,1.5,5.3,6.8,5.1,1.0,0.0,11.4
2021,Womens,04,"Maio, Miki'ala",27,29.7,.436,.375,.875,0.9,2.1,3.0,2.1,1.4,0.1,10.9
2021,Womens,21,"Rodabaugh, Emily",29,28.6,.438,.376,.766,1.8,3.6,5.4,1.0,1.2,0.8,9.7
2021,Womens,11,"Bailey, Jacey",29,34.6,.374,.279,.675,1.3,4.6,6.0,1.8,1.5,0.4,9.4
2021,Womens,12,"Moran, Nyah",29,13.1,.372,.294,.615,0.7,1.1,1.8,0.7,0.7,0.2,4.4
2021,Womens,22,"Moran, Olivia",29,9.9,.470,.391,.692,1.0,0.8,1.8,0.3,0.4,0.0,3.6
2021,Womens,02,"Simmons, Ajai",16,3.1,.250,.111,.500,0.1,0.3,0.3,0.2,0.0,0.0,0.6
2021,Womens,24,"Ramesh, Sanjana",16,3.9,.333,.000,1.000,0.3,0.3,0.6,0.3,0.4,0.3,0.5
2021,Womens,50,"Bryant, Sentia",12,2.4,.500,.000,.125,0.3,0.8,1.0,0.2,0.0,0.0,0.3
2020,Womens,15,"Rasheed, Khiarica",31,27.2,.489,.472,.768,2.7,4.5,7.2,1.1,1.1,0.4,16.5
2020,Womens,11,"Bailey, Jacey",31,32.7,.408,.355,.679,1.0,5.5,6.5,1.6,1.2,0.2,14.0
2020,Womens,30,"Radford, Nina",31,28.8,.422,.408,.852,0.9,3.5,4.4,3.1,1.0,0.5,12.2
2020,Womens,20,"Orndoff, Lauren",31,27.7,.398,.320,.807,0.9,1.3,2.3,1.5,0.8,0.3,9.0
2020,Womens,03,"Malvar, Caitlin",31,33.9,.366,.284,.656,0.3,4.7,4.9,4.6,1.4,0.0,6.2
2020,Womens,01,"Schenck, Regan",30,21.2,.346,.263,.765,0.7,2.9,3.6,2.0,0.8,0.0,4.2
2020,Womens,33,"Carroll, Peyton",31,9.5,.412,1.000,.636,0.7,1.4,2.1,0.4,0.2,0.1,3.5
2020,Womens,04,"Gary, Morgan",31,8.8,.397,.400,.846,0.9,0.9,1.7,0.6,0.4,0.1,2.6
2020,Womens,25,"Lehew, Brianna",29,7.8,.385,.214,.417,0.4,1.6,2.0,0.2,0.2,0.4,2.0
2020,Womens,21,"Rodabaugh, Emily",22,5.0,.421,.316,.600,0.2,0.6,0.8,0.2,0.1,0.0,1.9
2020,Womens,42,"Rohrer, Molly",13,5.2,.450,1.000,.500,0.2,0.6,0.8,0.3,0.1,0.2,1.7
2020,Womens,02,"Simmons, Ajai",6,3.0,.250,.000,.750,0.0,0.5,0.5,0.3,0.0,0.0,0.8
2020,Womens,10,"Richards, Seneca",4,2.3,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2020,Womens,24,"Ramesh, Sanjana",3,1.7,.000,.000,.000,0.3,0.3,0.7,0.0,0.0,0.0,0.0
2019,Womens,23,"Paplow, Kaleigh",30,36.3,.388,.317,.741,2.8,5.1,7.9,3.3,1.7,0.5,14.1
2019,Womens,15,"Rasheed, Khiarica",31,28.4,.441,.200,.725,2.4,3.9,6.3,1.6,0.7,0.5,12.8
2019,Womens,11,"Bailey, Jacey",31,30.2,.400,.318,.703,1.1,4.1,5.2,1.1,1.1,0.5,11.5
2019,Womens,20,"Orndoff, Lauren",14,30.9,.455,.425,.632,1.0,2.2,3.2,1.6,0.7,0.8,10.1
2019,Womens,01,"Schenck, Regan",31,28.6,.346,.299,.783,0.9,2.7,3.6,2.6,0.9,0.0,7.9
2019,Womens,33,"Carroll, Peyton",31,14.6,.458,.000,.744,0.6,2.3,2.9,0.7,0.2,0.2,6.7
2019,Womens,03,"Malvar, Caitlin",30,32.7,.353,.382,.700,0.3,4.4,4.7,3.4,1.1,0.1,6.5
2019,Womens,04,"Gary, Morgan",21,9.2,.385,.500,.733,1.0,1.3,2.2,0.3,0.3,0.0,3.0
2019,Womens,25,"Lehew, Brianna",26,10.8,.406,.286,.571,0.8,1.4,2.2,0.6,0.2,0.3,2.5
2019,Womens,21,"Tsingine, Tate",16,5.1,.292,.263,1.000,0.3,0.4,0.7,0.4,0.1,0.1,1.3
2019,Womens,05,"McCormick, Alize'",6,1.3,.500,.000,.000,0.0,0.2,0.2,0.2,0.0,0.0,0.3
2019,Womens,02,"Simmons, Ajai",1,2.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,Womens,11,"Lucero, Olivia",28,37.4,.437,.380,.862,0.9,4.6,5.4,4.6,1.2,0.2,17.2
2018,Womens,12,"McDavis, Kenna",29,33.5,.373,.347,.711,0.5,7.7,8.2,1.4,1.0,1.3,15.5
2018,Womens,23,"Paplow, Kaleigh",29,34.9,.447,.273,.688,3.0,4.4,7.4,3.3,1.3,0.2,11.0
2018,Womens,15,"Rasheed, Khiarica",30,22.4,.436,.333,.626,2.4,2.8,5.3,0.6,0.3,0.2,7.4
2018,Womens,20,"Orndoff, Lauren",28,26.3,.310,.212,.565,1.5,2.4,3.9,1.5,0.7,0.3,5.7
2018,Womens,33,"Carroll, Peyton",30,16.4,.419,.000,.727,0.8,2.5,3.3,0.5,0.0,0.3,5.3
2018,Womens,21,"Tsingine, Tate",26,13.7,.330,.357,.813,0.4,1.4,1.8,1.3,0.5,0.0,4.1
2018,Womens,22,"Boston, Kaprice",29,13.3,.333,.222,.714,0.6,0.9,1.5,0.5,0.6,0.2,2.8
2018,Womens,25,"Lehew, Brianna",27,10.1,.437,.000,.526,0.9,1.5,2.3,0.6,0.3,0.6,2.7
2018,Womens,10,"Jensen, Abbey",5,3.6,1.000,.000,.000,0.0,0.2,0.2,0.0,0.0,0.2,1.2
2018,Womens,05,"Betoney, Chelena",16,5.0,.185,.176,.667,0.3,0.4,0.8,0.6,0.0,0.0,1.1
2018,Womens,24,"Appleby, Shantel",2,2.0,.000,.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2018,Womens,02,"Reiser, Ashley",1,1.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Womens,11,"Lucero, Olivia",28,30.6,.415,.347,.773,1.3,3.4,4.7,2.6,1.1,0.1,14.8
2017,Womens,01,"Coggins, Rene",30,35.9,.351,.353,.797,0.9,1.8,2.7,2.6,0.9,0.1,11.5
2017,Womens,02,"Perez, Raina",30,26.2,.372,.293,.882,0.4,1.7,2.1,2.3,0.6,0.2,10.1
2017,Womens,04,"Lusain, Brittani",26,22.3,.415,.313,.643,2.8,4.0,6.8,2.8,1.2,0.2,9.8
2017,Womens,23,"Paplow, Kaleigh",30,26.3,.455,.150,.744,2.4,4.3,6.7,1.9,1.1,0.3,8.6
2017,Womens,12,"McDavis, Kenna",17,19.5,.348,.333,.688,0.4,2.5,2.9,0.6,0.5,0.1,6.6
2017,Womens,22,"Preston, Catelyn",27,15.8,.400,.351,.786,0.8,3.0,3.7,1.1,0.4,0.1,5.3
2017,Womens,34,"Leyva, Taylor",28,17.8,.404,.380,.680,1.3,2.4,3.7,1.2,0.4,0.3,4.4
2017,Womens,50,"Cotton, Bradlee",30,19.2,.451,.000,.667,1.9,1.7,3.6,0.5,0.2,0.0,3.1
2017,Womens,33,"Carroll, Peyton",7,4.7,.533,.000,1.000,0.3,0.3,0.6,0.0,0.0,0.1,2.4
2017,Womens,10,"Amukamara, Passionate",5,6.4,.357,.000,.000,0.8,0.4,1.2,0.2,0.4,0.0,2.0
2017,Womens,20,"Malufau, Va'e",9,6.2,.462,.000,1.000,0.4,1.1,1.6,0.1,0.2,0.0,1.7
2017,Womens,05,"Betoney, Chelena",3,2.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.3,0.0,0.0
2017,Womens,25,"Lehew, Brianna",1,1.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Womens,54,"Rader, Alyssa",29,29.6,.390,.367,.630,2.3,6.5,8.8,2.8,0.7,1.0,14.5
2016,Womens,01,"Coggins, Rene",30,34.9,.389,.369,.760,0.6,2.7,3.3,2.0,1.1,0.0,11.1
2016,Womens,04,"Lusain, Brittani",11,24.6,.360,.118,.487,1.5,4.8,6.4,3.4,1.4,0.1,9.2
2016,Womens,23,"Paplow, Kaleigh",23,24.0,.487,.421,.705,2.1,3.0,5.0,1.0,1.5,0.3,8.7
2016,Womens,34,"Leyva, Taylor",30,27.4,.450,.377,.688,1.4,3.1,4.4,1.9,1.2,0.3,8.3
2016,Womens,22,"Preston, Catelyn",28,20.1,.406,.347,1.000,0.6,3.3,3.8,1.8,0.7,0.2,5.1
2016,Womens,03,"Mulder, Monique",29,16.4,.318,.208,.619,0.4,1.3,1.7,1.2,1.1,0.2,5.0
2016,Womens,24,"Young, Shay",27,13.2,.371,.333,.902,1.1,1.7,2.8,0.7,0.4,0.1,5.0
2016,Womens,21,"Willadsen, Mariah",29,18.6,.333,.182,.786,0.6,1.2,1.8,0.9,0.4,0.0,4.1
2016,Womens,10,"Amukamara, Passionate",25,8.9,.291,.235,.500,0.6,0.7,1.3,0.2,0.4,0.1,2.3
2016,Womens,50,"Cotton, Bradlee",30,11.4,.477,.000,.600,1.0,1.1,2.1,0.6,0.1,0.1,1.8
2015,Womens,14,"Banks, Erikka",30,32.6,.507,.217,.716,2.8,6.0,8.9,0.9,2.0,0.3,13.2
2015,Womens,25,"Anderson, Raven",30,25.3,.535,.000,.657,2.6,4.9,7.5,1.5,0.9,1.3,12.1
2015,Womens,04,"Lusain, Brittani",30,29.4,.324,.278,.692,0.9,5.2,6.0,4.1,1.2,0.3,10.2
2015,Womens,21,"Willadsen, Mariah",30,31.4,.425,.263,.873,0.9,2.2,3.1,1.3,0.6,0.1,7.6
2015,Womens,01,"Coggins, Rene",27,30.9,.305,.237,.857,0.9,1.7,2.6,2.1,0.9,0.1,6.7
2015,Womens,42,"Mulder, Monique",29,16.6,.302,.238,.667,0.4,1.0,1.5,1.4,0.7,0.1,3.9
2015,Womens,35,"Lloyd, Tori",30,10.6,.292,.253,.545,0.3,1.0,1.3,0.4,0.4,0.0,3.8
2015,Womens,30,"Austin, Madi",24,9.2,.389,.400,.773,0.3,1.0,1.3,0.3,0.1,0.0,3.0
2015,Womens,50,"Cotton, Bradlee",28,7.9,.417,.000,.474,0.7,0.6,1.4,0.3,0.1,0.0,1.0
2015,Womens,34,"Leyva, Taylor",27,6.8,.435,.200,.800,0.6,0.4,1.0,0.4,0.1,0.0,1.0
2015,Womens,22,"Preston, Catelyn",29,6.6,.342,.167,.333,0.2,0.8,1.0,0.5,0.2,0.2,1.0
2015,Womens,24,"Young, Shay",18,3.5,.429,.000,.750,0.2,0.2,0.4,0.0,0.1,0.1,0.8
2014,Womens,21,"Frost, Amanda",1,36.0,.444,.571,1.000,0.0,2.0,2.0,1.0,2.0,1.0,24.0
2014,Womens,21,"Frost, Amanda",28,36.2,.470,.369,.863,0.8,1.6,2.4,3.2,2.5,0.2,22.4
2014,Womens,25,"Anderson, Raven",1,20.0,.667,.000,.750,0.0,0.0,0.0,2.0,1.0,0.0,15.0
2014,Womens,14,"Banks, Erikka",26,32.0,.600,.286,.812,2.8,4.6,7.4,1.5,1.7,0.3,13.8
2014,Womens,04,"Lusain, Brittani",27,32.4,.383,.200,.728,1.7,4.8,6.5,5.0,1.9,0.4,13.2
2014,Womens,25,"Anderson, Raven",26,23.0,.534,.000,.625,2.1,3.5,5.6,1.3,1.2,1.1,9.7
2014,Womens,01,"Coggins, Rene",25,36.7,.370,.308,.800,0.3,2.0,2.3,2.7,0.8,0.0,7.5
2014,Womens,14,"Banks, Erikka",1,35.0,.200,.000,1.000,4.0,10.0,14.0,3.0,0.0,0.0,6.0
2014,Womens,23,"Brooks, Priscilla",1,10.0,.600,.000,.000,2.0,0.0,2.0,2.0,0.0,1.0,6.0
2014,Womens,04,"Lusain, Brittani",1,24.0,.429,.000,.000,2.0,5.0,7.0,2.0,2.0,0.0,6.0
2014,Womens,01,"Coggins, Rene",1,31.0,.250,.000,.500,2.0,1.0,3.0,3.0,0.0,0.0,5.0
2014,Womens,23,"Brooks, Priscilla",26,13.2,.419,.000,.354,1.7,2.2,3.9,0.3,0.4,0.7,4.0
2014,Womens,22,"Preston, Catelyn",28,14.7,.407,.190,.700,0.8,1.6,2.4,1.6,0.4,0.2,3.3
2014,Womens,34,"Leyva, Taylor",1,25.0,.500,.000,.000,2.0,0.0,2.0,5.0,0.0,0.0,2.0
2014,Womens,22,"Preston, Catelyn",1,9.0,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2014,Womens,11,"Lee, Avonna",20,5.2,.344,.353,.000,0.2,0.5,0.7,0.0,0.2,0.0,1.4
2014,Womens,34,"Leyva, Taylor",28,14.7,.235,.111,.429,0.5,1.1,1.6,0.5,0.4,0.1,0.8
2014,Womens,32,"Peshkova, Bisera",11,5.4,.200,.222,.500,0.1,0.1,0.2,0.2,0.1,0.0,0.6
2014,Womens,30,"Thomas, Hunter",6,1.3,.250,.000,1.000,0.5,0.2,0.7,0.0,0.0,0.0,0.5
2014,Womens,50,"Cotton, Bradlee",15,3.3,.200,.000,.500,0.3,0.0,0.3,0.0,0.1,0.0,0.2
2014,Womens,50,"Cotton, Bradlee",1,2.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Womens,11,"Lee, Avonna",1,8.0,.000,.000,.000,0.0,2.0,2.0,2.0,0.0,0.0,0.0
2013,Womens,23,"Stephens-Jenkins, Tyler",2,43.0,.517,.522,.500,2.0,5.5,7.5,6.0,3.5,1.5,21.5
2013,Womens,32,"Patton, Amy",2,42.5,.459,.250,.800,2.0,8.0,10.0,2.5,2.0,0.0,20.5
2013,Womens,32,"Patton, Amy",27,35.4,.409,.289,.765,1.1,6.7,7.9,2.3,2.4,0.3,17.0
2013,Womens,10,"Davis, Aubrey",2,34.0,.522,1.000,.500,1.0,6.0,7.0,2.0,0.5,0.0,13.0
2013,Womens,21,"Frost, Amanda",1,29.0,.333,.500,.875,1.0,3.0,4.0,4.0,2.0,0.0,12.0
2013,Womens,21,"Frost, Amanda",17,32.1,.430,.302,.784,0.6,2.6,3.3,2.3,1.2,0.6,9.8
2013,Womens,34,"Haynes, Paige",27,34.7,.448,.281,.795,0.7,2.3,3.0,3.6,1.0,0.0,8.3
2013,Womens,25,"Anderson, Raven",2,11.0,.538,.000,.500,3.0,2.5,5.5,0.5,0.0,0.5,8.0
2013,Womens,14,"Banks, Erikka",15,18.4,.466,.000,.672,2.5,2.7,5.1,0.5,1.5,0.1,7.5
2013,Womens,10,"Davis, Aubrey",27,26.9,.454,.000,.620,1.8,3.9,5.7,1.3,0.7,1.2,7.4
2013,Womens,23,"Stephens-Jenkins, Tyler",26,29.9,.302,.233,.500,0.8,3.1,3.9,1.2,1.3,0.6,7.2
2013,Womens,34,"Haynes, Paige",2,44.5,.500,.333,.600,1.0,2.0,3.0,6.0,1.0,0.0,6.5
2013,Womens,25,"Anderson, Raven",27,14.3,.422,.000,.632,2.1,1.8,3.9,0.6,0.3,0.4,6.1
2013,Womens,12,"Sneed, Jasmine",2,25.5,.167,.333,.000,1.0,0.5,1.5,3.0,1.5,0.0,2.5
2013,Womens,03,"Gortarez, Patricia",22,13.3,.264,.214,.611,0.3,1.4,1.6,1.1,1.1,0.0,2.0
2013,Womens,03,"Gortarez, Patricia",1,15.0,.500,.000,.000,1.0,0.0,1.0,0.0,0.0,0.0,2.0
2013,Womens,24,"Tarver, Sarah",10,12.7,.261,.000,.833,0.6,1.1,1.7,0.6,0.1,0.1,1.7
2013,Womens,12,"Sneed, Jasmine",19,14.8,.250,.000,.385,0.3,0.7,0.9,1.3,0.7,0.1,1.2
2013,Womens,00,"Batson, Shayla",6,6.5,.143,.333,.750,0.3,0.2,0.5,0.2,0.2,0.2,1.0
2013,Womens,13,"Smith, Chanel",16,8.3,.304,.000,1.000,0.4,0.8,1.2,0.4,0.2,0.4,1.0
2013,Womens,11,"Badilla, Brandi",1,1.0,.000,.000,.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2013,Womens,13,"Smith, Chanel",1,5.0,.000,.000,.000,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2012,Womens,32,"Patton, Amy",29,28.9,.413,.325,.740,1.2,5.3,6.5,2.6,2.0,0.4,14.6
2012,Womens,41,"Frost, Amanda",29,20.6,.406,.360,.794,0.7,1.0,1.7,1.7,1.2,0.3,8.6
2012,Womens,24,"Conerly, Khyra",28,22.7,.419,.000,.462,1.1,1.4,2.5,2.4,1.9,0.4,7.6
2012,Womens,10,"Davis, Aubrey",29,21.7,.519,.000,.694,2.6,2.7,5.3,1.1,0.7,1.1,6.7
2012,Womens,23,"Stephens-Jenkins, Tyler",23,26.9,.301,.286,.441,0.9,2.5,3.4,1.7,1.3,0.5,6.7
2012,Womens,33,"Trice, Trinidee",25,17.4,.400,.292,.692,0.8,2.5,3.3,1.4,1.0,0.3,6.0
2012,Womens,22,"Huntington, Caty",22,21.0,.301,.300,.618,0.8,1.4,2.2,2.0,1.8,0.2,5.8
2012,Womens,11,"Pratt, Katie",18,15.9,.397,.417,.857,0.9,1.5,2.4,0.3,0.7,0.1,5.3
2012,Womens,02,"May, Shay",22,19.3,.469,.000,.478,2.2,3.2,5.4,0.4,1.2,0.1,4.6
2012,Womens,03,"Gortarez, Patricia",6,9.0,.545,.600,.857,0.3,0.5,0.8,0.7,0.3,0.2,3.5
2012,Womens,14,"Banks, Erikka",26,11.6,.458,.000,.625,1.4,1.1,2.5,0.1,0.5,0.2,3.2
2012,Womens,25,"Anderson, Raven",19,7.1,.488,.000,.333,1.1,0.9,2.0,0.2,0.3,0.3,2.6
2012,Womens,12,"Sneed, Jasmine",17,10.4,.314,.000,.500,0.4,0.5,0.9,1.4,0.6,0.1,1.7
2012,Womens,34,"Haynes, Paige",23,9.7,.346,.313,.571,0.3,0.7,1.1,1.1,0.5,0.1,1.2
2012,Womens,13,"Smith, Chanel",15,5.4,.417,.000,.500,0.2,0.6,0.8,0.3,0.0,0.3,0.8
2012,Womens,00,"Batson, Shayla",5,1.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Womens,32,"Patton, Amy",29,29.8,.368,.313,.774,1.3,4.2,5.5,1.9,2.0,0.1,16.4
2011,Womens,23,"Stephens-Jenkins, Tyler",29,26.7,.375,.342,.532,1.3,2.6,3.8,2.0,1.9,0.8,9.4
2011,Womens,13,"Galloway, Jenna",29,19.4,.448,.375,.618,0.8,1.6,2.4,1.0,0.5,0.1,5.3
2011,Womens,33,"Trice, Trinidee",29,16.0,.409,.250,.714,0.8,2.3,3.1,1.2,0.8,0.4,5.2
2011,Womens,22,"Huntington, Caty",28,15.6,.387,.290,.759,0.6,1.0,1.6,1.2,1.4,0.2,4.9
2011,Womens,11,"Pratt, Katie",26,13.2,.406,.246,.632,0.8,0.8,1.6,0.4,0.4,0.2,4.3
2011,Womens,24,"Conerly, Khyra",29,10.2,.381,.000,.455,1.0,0.6,1.6,1.1,0.9,0.3,4.2
2011,Womens,2,"May, Shay",27,18.1,.389,.000,.593,1.8,2.2,4.0,0.4,1.0,0.1,3.9
2011,Womens,14,"Toney, Vickie",28,27.3,.284,.276,.648,0.7,1.7,2.4,4.4,1.6,0.0,3.8
2011,Womens,42,"Amos, Tiffany",28,10.1,.363,.250,.667,0.8,1.2,2.0,0.3,0.3,0.3,3.5
2011,Womens,30,"Spaich, Melissa",28,14.4,.475,.294,.438,1.0,1.9,2.9,0.7,0.4,0.6,3.4
2011,Womens,41,"Boler, Shakila",1,3.0,.000,.000,1.000,0.0,0.0,0.0,1.0,1.0,0.0,2.0
2011,Womens,10,"Davis, Aubrey",21,6.9,.400,.000,.500,0.4,1.0,1.4,0.3,0.2,0.2,1.1
